SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
90,Antonio Carlos,br BRA,DF,Sport Recife,32-124,1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,Jean Carlos Vicente,br BRA,MF,FW,Juventude,33-144,1992,2.3,7,3.1,4,1,1,0,0,1,0,0,0,0,0,0,0,0
92,AndrÃ© Carrillo,pe PER,MF,Corinthians,34-025,1991,6.8,22,3.24,19,1,0,1,0,1,3,0.44,3,0,0,0,0,0,
93,Gabriel Carvalho,br BRA,FW,Internacional,17-326,2007,0.8,2,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,CÃ¡ssio,br BRA,GK,Cruzeiro,38-033,1987,12,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,Iury de Castilho,br BRA,FW,Mirassol,29-306,1995,5.5,11,1.98,8,0,0,2,1,0,3,0.54,0,0,0,2,1,0,
96,Murilo Cerqueira,br BRA,DF,Palmeiras,28-104,1997,3.7,1,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,Kayky Chagas,br BRA,FW,MF,Bahia,22-028,2003,2.1,10,4.81,6,0,3,0,1,0,3,1.44,1,0,1,0,1,0
98,Chico,br BRA,MF,Mirassol,34-053,1991,1.4,5,3.49,3,0,0,0,1,1,2,1.4,0,0,0,0,1,1,
99,Chico,br BRA,DF,Sport Recife,26-298,1998,10.5,11,1.05,10,0,0,0,0,1,1,0.1,1,0,0,0,0,0,
100,Christian,br BRA,FW,Cruzeiro,24-202,2000,7.7,20,2.6,16,0,0,3,1,0,3,0.39,2,0,0,1,0,0,
101,Claudinho,br BRA,DF,VitÃ³ria,24-288,2000,8.7,19,2.18,15,0,2,1,1,0,1,0.11,1,0,0,0,0,0,
102,Clayson,br BRA,FW,Mirassol,30-112,1995,2.8,13,4.57,7,3,2,1,0,0,2,0.7,1,0,0,1,0,0,
103,Clayton,br BRA,DF,Internacional,25-096,2000,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
104,Mateus CocÃ£o,br BRA,MF,Vasco da Gama,23-113,2002,3.1,4,1.27,3,0,0,1,0,0,0,0,0,0,0,0,0,0,
105,Igor Coronado,br BRA,MF,Corinthians,32-325,1992,3.8,14,3.68,9,1,2,1,1,0,3,0.79,3,0,0,0,0,0,
106,Philippe Coutinho,br BRA,MF,Vasco da Gama,33-027,1992,6.6,34,5.12,22,5,2,2,3,0,1,0.15,1,0,0,0,0,0,
107,Franco Cristaldo,ar ARG,MF,FW,GrÃªmio,28-328,1996,5.8,31,5.32,17,8,1,2,3,0,2,0.34,1,1,0,0,0,0
108,Gustavo Cuellar,co COL,MF,GrÃªmio,32-268,1992,0.9,1,1.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,TomÃ¡s Cuello,ar ARG,FW,MF,AtlÃ©tico Mineiro,25-126,2000,7.5,48,6.42,30,1,7,4,4,2,0,0,0,0,0,0,0,0
110,Cuiabano,br BRA,DF,MF,Botafogo (RJ),22-143,2003,6.2,12,1.95,11,1,0,0,0,0,2,0.32,2,0,0,0,0,0
111,Lucas Cunha,br BRA,DF,Sport Recife,28-167,1997,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,Danielzinho,br BRA,MF,FW,Mirassol,30-247,1994,11,39,3.55,31,3,0,2,3,0,4,0.36,4,0,0,0,0,0
113,Danilo,br BRA,DF,Flamengo,33-359,1991,2.6,5,1.9,5,0,0,0,0,0,2,0.76,2,0,0,0,0,0,
114,Matheus DavÃ³,br BRA,FW,MF,Mirassol,25-327,1999,0.4,2,5.14,1,0,0,1,0,0,1,2.57,1,0,0,0,0,0
115,Giorgian De Arrascaeta,uy URU,MF,Flamengo,31-038,1994,7.5,29,3.84,15,5,4,2,2,1,9,1.19,1,2,3,0,2,1,
116,NicolÃ¡s De La Cruz,uy URU,MF,Flamengo,28-038,1997,6.2,20,3.21,15,5,0,0,0,0,3,0.48,2,1,0,0,0,0,
117,Deyverson,br BRA,FW,Fortaleza,34-062,1991,5.2,18,3.46,12,1,0,2,3,0,1,0.19,1,0,0,0,0,0,
118,Enzo DÃ­az,ar ARG,DF,SÃ£o Paulo,29-214,1995,8.1,23,2.82,18,4,1,0,0,0,1,0.12,0,1,0,0,0,0,
119,Lautaro DÃ­az,ar ARG,FW,MF,Cruzeiro,27-049,1998,0.8,3,3.55,3,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Dieguinho,br BRA,MF,CearÃ¡,29-251,1995,10.7,18,1.68,12,0,2,0,3,1,5,0.47,4,0,1,0,0,0,
121,Dieguinho,br BRA,FW,Corinthians,17-358,2007,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,Dodi,br BRA,MF,GrÃªmio,29-083,1996,8.4,7,0.83,4,0,0,1,0,2,1,0.12,0,0,0,0,0,1,
123,Fabricio DomÃ­nguez,uy URU,MF,Sport Recife,27-015,1998,1.1,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
