"Rk,Player,Nation,Pos,Squad,Age,Born,90s,""Gls"
78,Juninho Capixaba,br BRA,DF,RB Bragantino,28-009,1997,12.0,1,16,4,25.0,1.33,0.33,0.06,0.25,18.2,3,0,0
79,Carlinhos,br BRA,FW,Vitória,28-153,1997,1.5,1,8,1,12.5,5.33,0.67,0.13,1.00,11.8,0,0,0
80,Iury de Castilho,br BRA,FW,Mirassol,29-312,1995,5.5,1,9,3,33.3,1.62,0.54,0.11,0.33,19.0,0,0,0
81,Murilo Cerqueira,br BRA,DF,Palmeiras,28-110,1997,3.7,1,2,2,100.0,0.54,0.54,0.50,0.50,19.6,0,0,0
"82,Kayky Chagas,br BRA,""FW,MF"",Bahia,22-034,2003,2.2,1,6,3,50.0,2.74,1.37,0.17,0.33,13.7,0,0,0"
83,Christian,br BRA,FW,Cruzeiro,24-208,2000,8.7,1,16,3,18.8,1.84,0.35,0.06,0.33,13.0,0,0,0
84,Igor Coronado,br BRA,MF,Corinthians,32-331,1992,3.8,1,10,4,40.0,2.63,01.05,0.10,0.25,23.7,1,0,0
"85,Tomás Cuello,ar ARG,""FW,MF"",Atlético Mineiro,25-132,2000,8.0,1,22,7,31.8,2.76,0.88,0.05,0.14,16.3,0,0,0"
"86,Cuiabano,br BRA,""DF,MF"",Botafogo (RJ),22-149,2003,6.2,1,6,2,33.3,0.97,0.32,0.17,0.50,17.7,0,0,0"
87,Danilo,br BRA,DF,Flamengo,34-000,1991,2.6,1,1,1,100.0,0.38,0.38,1.00,1.00,4.1,0,0,0
88,Deyverson,br BRA,FW,Fortaleza,34-068,1991,5.5,1,18,4,22.2,3.27,0.73,0.06,0.25,13.4,0,0,0
"89,Dudu,br BRA,""FW,MF"",Cruzeiro,33-189,1992,2.4,1,2,1,50.0,0.84,0.42,0.50,1.00,16.3,0,0,0"
"90,Edenílson,br BRA,""MF,FW"",Grêmio,35-209,1989,5.3,1,5,1,20.0,0.94,0.19,0.20,1.00,14.7,0,0,0"
91,Leandro Emmanuel Martínez,ar ARG,MF,Fortaleza,31-041,1994,7.6,1,9,4,44.4,1.18,0.52,0.11,0.25,25.1,0,0,0
"92,Ênio,br BRA,""FW,MF"",Juventude,24-134,2001,5.6,1,8,4,50.0,1.42,0.71,0.13,0.25,21.0,0,0,0"
"93,Erick,br BRA,""MF,DF"",Bahia,27-243,1997,4.6,1,5,1,20.0,01.08,0.22,0.20,1.00,13.8,0,0,0"
94,Evertton,br BRA,MF,Flamengo,22-137,2003,3.6,1,5,4,80.0,1.39,1.11,0.20,0.25,21.2,0,0,0
"95,Nathan Fernandes,br BRA,""FW,MF"",Botafogo (RJ),20-149,2005,1.8,1,7,3,42.9,3.80,1.63,0.14,0.33,13.0,0,0,0"
96,Marlon Freitas,br BRA,MF,Botafogo (RJ),30-110,1995,11.3,1,4,3,75.0,0.35,0.27,0.25,0.33,21.4,0,0,0
